Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-763,Rrny_Efgngr,OS,2.08,14.0,697.2
Bond-764,Rrny_Efgngr,OS,1.71,9.0,151.5
Bond-765,Rrny_Efgngr,OS,2.38,9.0,156.7
Bond-766,Rrny_Efgngr,OS,6.21,9.0,246.2
Bond-767,Rrny_Efgngr,OS,9.09,10.0,259.4
Bond-768,Rrny_Efgngr,OS,7.56,10.0,241.8
Bond-769,Rrny_Efgngr,OS,2.18,13.0,513.2
Bond-770,Rrny_Efgngr,OS,2.08,13.0,516.0
Bond-771,Rrny_Efgngr,OS,1.5,14.0,804.9
Bond-772,Rrny_Efgngr,OS,3.26,10.0,191.7
Bond-773,Rrny_Efgngr,OS,2.23,10.0,173.2
Bond-774,Rrny_Efgngr,OS,2.77,10.0,176.5
Bond-775,Rrny_Efgngr,OS,1.14,8.0,165.2
Bond-776,Rrny_Efgngr,OS,1.34,15.0,774.1
Bond-777,Rrny_Efgngr,OS,1.38,14.0,928.2
Bond-778,Rrny_Efgngr,OS,12.56,13.0,684.6
Bond-779,Rrny_Efgngr,OS,12.18,13.0,718.6
Bond-780,Rrny_Efgngr,OS,1.29,13.0,706.2
Bond-781,Rrny_Efgngr,OS,2.02,13.0,757.9
Bond-782,Rrny_Efgngr,OS,1.8,14.0,734.8
Bond-783,Rrny_Efgngr,OS,1.27,10.0,248.0
Bond-784,Rrny_Efgngr,OS,2.56,10.0,275.9
Bond-785,Rrny_Efgngr,OS,1.33,10.0,233.6
Bond-786,Rrny_Efgngr,OS,3.4,10.0,326.5
Bond-787,Rrny_Efgngr,OS,5.27,10.0,370.8
Bond-788,Rrny_Efgngr,OS,1.77,12.0,1395.0
Bond-789,Rrny_Efgngr,OS,6.96,10.0,390.9
Bond-790,Rrny_Efgngr,OS,1.41,10.0,259.6
Bond-791,Rrny_Efgngr,OS,1.68,14.0,695.2
Bond-792,Rrny_Efgngr,OS,1.27,14.0,663.3
Bond-793,Rrny_Efgngr,OS,2.56,14.0,724.3
Bond-794,Rrny_Efgngr,OS,1.54,14.0,678.7
Bond-795,Rrny_Efgngr,OS,2.19,14.0,714.0
Bond-796,Rrny_Efgngr,OS,1.34,15.0,677.5
Bond-797,Rrny_Efgngr,OS,1.65,15.0,1678.1
Bond-798,Rrny_Efgngr,OS,2.27,15.0,1660.9
Bond-799,Rrny_Efgngr,OS,1.08,14.0,533.6
Bond-800,Rrny_Efgngr,OS,2.49,14.0,552.6
Bond-801,Rrny_Efgngr,OS,0.15,9.0,171.6
Bond-802,Rrny_Efgngr,OS,2.38,9.0,155.2
Bond-803,Rrny_Efgngr,OS,3.16,9.0,177.0
Bond-804,Rrny_Efgngr,OS,3.38,9.0,176.6
Bond-805,Rrny_Efgngr,OS,6.13,9.0,214.3
Bond-806,Rrny_Efgngr,OS,3.51,13.0,607.0
Bond-807,Rrny_Efgngr,OS,1.62,11.0,418.2
Bond-808,Rrny_Efgngr,OS,2.27,14.0,492.8
Bond-809,Rrny_Efgngr,OS,2.18,10.0,250.8
